ticker,sector
A,Healthcare
AA,Basic Materials
AAGIY,Financial Services
AAL,Industrials
AAN,Consumer Cyclical
AAPL,Technology
ABB,Industrials
ABBV,Healthcare
ABCO,Fund
ABT,Healthcare
ABYIX,Fund
ACA,Industrials
ACE,Fund
ACIW,Technology
ACN,Technology
ACSDX,Fund
ACT,Financial Services
ADBE,Technology
ADC,Real Estate
ADI,Technology
ADM,Consumer Defensive
ADP,Industrials
ADT,Industrials
AEE,Utilities
AEP,Utilities
AET,Fund
AFL,Financial Services
AFSI,Fund
AFTEX,Fund
AGCO,Industrials
AGU,Fund
AHKSY,Basic Materials
AIG,Financial Services
AIT,Industrials
AIV,Real Estate
AIZ,Financial Services
AJG,Financial Services
AJRD,Industrials
AKAM,Technology
ALB,Basic Materials
ALE,Utilities
ALGN,Healthcare
ALL,Financial Services
ALLE,Industrials
AM,Energy
AMAT,Technology
AME,Industrials
AMG,Financial Services
AMGN,Healthcare
AMLP,Fund
AMSG,Fund
AMT,Real Estate
AMWD,Consumer Cyclical
AMZN,Consumer Cyclical
ANCX,Fund
ANTM,Healthcare
AON,Financial Services
APA,Energy
APD,Basic Materials
APH,Technology
APO,Financial Services
APTV,Consumer Cyclical
AQN,Utilities
AR,Energy
ARCC,Financial Services
ARE,Real Estate
ARNA,Healthcare
ARW,Technology
ASML,Technology
ATHM,Communication Services
ATML,Fund
ATOAX,Fund
ATRO,Industrials
ATVI,Communication Services
AVGO,Technology
AWK,Utilities
AX,Financial Services
AXAHY,Financial Services
AXLL,Fund
AXP,Financial Services
AXS,Financial Services
AXTA,Basic Materials
AY,Utilities
AYI,Industrials
AZN,Healthcare
AZO,Consumer Cyclical
BA,Industrials
BABA,Consumer Cyclical
BAC,Financial Services
BAH,Industrials
BAM,Financial Services
BASFY,Basic Materials
BAX,Healthcare
BBL,Basic Materials
BBU,Industrials
BCPC,Basic Materials
BCR,Fund
BDX,Healthcare
BEAV,Fund
BECN,Industrials
BERY,Consumer Cyclical
BFAM,Consumer Cyclical
BGS,Consumer Defensive
BHF,Financial Services
BHI,Fund
BHP,Basic Materials
BIDU,Communication Services
BIF,Financial Services
BIIB,Healthcare
BIN,Fund
BIO,Healthcare
BIV,Fund
BIVV,Fund
BK,Financial Services
BKE,Consumer Cyclical
BKNG,Consumer Cyclical
BLK,Financial Services
BMR,Fund
BMY,Healthcare
BNPQY,Financial Services
BOIVF,Communication Services
BOTZ,Fund
BOX,Technology
BP,Energy
BRK-B,Financial Services
BRY,Energy
BTC,cryptocurrency
BTF,Fund
BTO,Financial Services
BUNT,Fund
BWA,Consumer Cyclical
BWXT,Industrials
BX,Financial Services
BYND,Consumer Defensive
C,Financial Services
CAB,Fund
CABGY,Consumer Defensive
CABO,Communication Services
CAG,Consumer Defensive
CAH,Healthcare
CAIFX,Fund
CALX,Technology
CAPL,Energy
CARG,Communication Services
CARR,Industrials
CASY,Consumer Defensive
CAT,Industrials
CB,Financial Services
CBT,Basic Materials
