ticker,transaction_date,number_of_transactions
BSTZ,2019/06/26,2
ALLE,2021/09/30,1
BKE,2021/09/30,1
CABO,2021/09/30,1
CTAS,2021/09/30,1
EXP,2021/09/30,1
GNRC,2021/09/30,1
MPWR,2021/09/30,1
NRDY,2021/09/27,1
J,2021/09/03,1
BTC,2021/08/16,1
SSBK,2021/08/12,1
COR,2021/08/04,1
PINS,2021/07/30,1
SNAP,2021/07/27,1
IJS,2021/07/26,1
RDSA,2021/07/26,1
O,2021/07/21,1
DTD,2021/07/16,1
XLY,2021/07/16,1
PEGA,2021/07/16,1
FAST,2021/07/08,1
OGN,2021/06/28,1
GBTC,2021/06/15,1
ETHE,2021/06/14,1
NOK,2021/06/03,1
CMG,2021/05/19,1
FDSWX,2021/05/18,1
FL4.SG,2021/05/17,1
TTD,2021/05/10,1
QRTEA,2021/05/10,1
X,2021/05/06,1
PTON,2021/05/04,1
NTRA,2021/04/20,1
CLF,2021/04/19,1
ECOM,2021/04/16,1
VPU,2021/04/15,1
ADBE,2021/04/14,1
TRIT,2021/04/13,1
GAN,2021/04/13,1
CALX,2021/04/07,1
CWEN,2021/04/05,1
EA,2021/04/05,1
CNR,2021/03/29,1
EW,2021/03/29,1
GNTX,2021/03/29,1
GGG,2021/03/29,1
IDXX,2021/03/29,1
NTES,2021/03/29,1
NDSN,2021/03/29,1
ODFL,2021/03/29,1
ROK,2021/03/29,1
SEIC,2021/03/29,1
SIVB,2021/03/29,1
TER,2021/03/29,1
ALGN,2021/03/29,1
ATHM,2021/03/29,1
BHP,2021/03/29,1
CHE,2021/03/29,1
DECK,2021/03/29,1
QRTEP,2021/03/26,1
DGNR,2021/02/18,1
CTAA,2021/02/16,1
GGSM,2021/02/12,1
CARG,2021/02/12,1
GEMIX,2021/02/12,1
PENN,2021/02/09,1
VEEV,2021/02/09,1
SHOP,2021/01/27,1
AQN,2021/01/26,1
LMACU,2021/01/22,1
SDOG,2021/01/15,1
TDY,2021/01/13,1
VRM,2021/01/08,1
LMND,2021/01/08,1
SH,2021/01/04,1
