,Committee on Energy and Commerce (2019-2020),Committee on Energy and Commerce (2021-2022),Committee on Financial Services (2019-2020),Committee on Financial Services (2021-2022),"Committee on Science, Space, and Technology (2019-2020)","Committee on Science, Space, and Technology (2021-2022)","Europe, Energy, the Environment and Cyber (2021-2022)",Internet and Technology Committee (2019-2020),"Subcommittee on Commodity Exchanges, Energy, and Credit (2021-2022)"
"Gottheimer, Josh",0,0,"{'PRA', 'GS', 'SNOW', 'BBVA', 'PPBI', 'ITUB', 'JPM', 'AAGIY', 'EBSB', 'ABCB', 'HMN', 'OCFC', 'PYPL', 'WFC', 'MKTX', 'BX', 'MA', 'BEN', 'SCHW', 'HSBC', 'MS', 'CATY', 'ICE', 'BRK.B', 'WBS', 'SPGI', 'SBCF', 'UBSI'}","{'SIVB', 'ITUB', 'SYF', 'LPRO', 'ALIZY', 'SF', 'OCFC', 'PYPL', 'XP', 'MKTX', 'BX', 'MA', 'SCHW', 'COF', 'MS', 'PGR', 'PNGAY', 'ALLY', 'BRK.B', 'SPGI'}",0,0,0,0,0
"Gonzalez, Anthony E.",0,0,0,0,0,{'ESTC'},0,0,0
"Beyer, Donald S.",0,0,0,0,"{'FLIR', 'AAPL', 'SPLK', 'MSFT', 'CGNX', 'SQ', 'NVDA', 'GOOG', 'TDOC', 'PI', 'ASML', 'ACN'}","{'SPLK', 'AAPL', 'CDNS', 'MSFT', 'NVDA', 'SQ', 'CGNX', 'GOOG', 'TDOC', 'PI', 'ASML'}",0,0,0
"Schrader, Kurt",{'XOM'},"{'XOM', 'KMI', 'CVX', 'EPD'}",0,0,0,0,0,0,0
"Long, Billy",{'KMI'},0,0,0,0,0,0,0,0
"Meijer, Peter",0,0,0,0,0,"{'SNPS', 'CHKP', 'YNDX', 'MCHP', 'TSM', 'GOOG', 'UBER', 'NTAP', 'SNAP', 'ST', 'INTC', 'SAP', 'MTCH', 'AAPL', 'DASTY', 'FB', 'ADBE', 'OKTA', 'MSFT', 'NVDA', 'IFNNY', 'JBL', 'QCOM', 'DXC', 'AVGO', 'CDNS', 'IBM', 'GOOGL', 'ORCL', 'AMD', 'MSI', 'ATVI'}","{'OKE', 'FANG', 'SLB', 'XEC', 'LUKOY', 'XOM', 'WMB', 'PSX'}",0,0
"Brooks, Mo",0,0,0,0,"{'SANM', 'AAPL', 'CDNS', 'CSCO', 'ADTN'}",{'CSCO'},0,0,0
"Phillips, Dean",0,0,"{'CFG', 'USB', 'DFS', 'PFG', 'TFC', 'GS', 'BK', 'AMG', 'C', 'PRU', 'BAC', 'JPM', 'SYF', 'WTFC', 'KEY', 'NTRS', 'HBAN', 'AFL', 'TRV', 'AIG', 'PYPL', 'WFC', 'PBCT', 'LNC', 'L', 'CME', 'CB', 'CMA', 'MTB', 'BEN', 'SCHW', 'COF', 'MS', 'PGR', 'IVZ', 'PNC', 'FITB', 'ZION', 'BRK.B', 'HIG', 'ADS'}",0,0,0,0,0,0
"Axne, Cynthia",0,0,"{'USB', 'V', 'JEF', 'MKL', 'BRK.B', 'ACGL', 'MA', 'FRFHF', 'ESGR', 'JPM', 'WFC', 'PGR'}","{'V', 'MKL', 'BRK.B', 'MA', 'PGR'}",0,0,0,0,0
"Garcia, Mike",0,0,0,0,"{'UBER', 'AAPL'}",0,0,0,0
"Jacobs, Christopher L.",0,0,0,0,0,0,0,"{'AAPL', 'BAND'}","{'DTM', 'CDEV', 'COP'}"
"Perlmutter, Ed",0,0,"{'USB', 'BRK.B'}",{'BRK.B'},"{'AAPL', 'FB', 'MSFT', 'NVDA', 'SQ', 'GOOGL'}","{'COIN', 'GOOG'}",0,0,0
"Gianforte, Greg","{'TS', 'TOT', 'EQNR', 'IPXHY', 'GLPEY', 'SLB', 'OMVKY', 'LUKOY', 'MITSY', 'VOPKY', 'SSL', 'NTOIY', 'E', 'BP', 'WOPEY', 'REPYY'}",0,0,0,0,0,0,0,0
"Welch, Peter",0,{'XOM'},0,0,0,0,0,0,0
"Marshall, Roger W.",0,0,0,0,"{'AAPL', 'MSFT', 'INTC', 'AMD', 'SNE'}",0,0,0,0
"Sessions, Pete",0,0,0,0,0,"{'AAPL', 'MSFT', 'NVDA', 'TSM', 'CRM', 'IBM'}",0,0,0
"Cohen, Steve",0,0,0,0,"{'MSFT', 'IBM', 'SNE'}",0,0,0,0
"Sherrill, Mikie",0,0,0,0,"{'AAPL', 'ADI', 'CERN', 'FB', 'CSCO', 'MSFT', 'NVDA', 'IBM', 'GOOGL', 'GOOG', 'ORCL', 'QCOM', 'TXN', 'ADSK', 'ACN'}",0,0,0,0
"Lofgren, Zoe",0,0,0,0,"{'AAPL', 'FB', 'ADBE', 'CSCO', 'INTC', 'MSFT', 'GOOGL', 'QCOM', 'APH'}","{'ADBE', 'CSCO', 'AMAT', 'NTAP', 'QCOM', 'ASML', 'ACN', 'NXPI'}",0,0,0
"Pallone, Frank",0,{'CVX'},0,0,0,0,0,0,0
"Ross, Deborah K.",0,0,0,0,0,"{'AAPL', 'FB', 'MSFT', 'GOOGL', 'AMAT', 'IS', 'LRCX', 'ORCL', 'AMD', 'CRWD'}",0,0,0
"Curtis, John",0,{'VLO'},0,0,0,0,0,0,0
"Crenshaw, Daniel",0,{'KMI'},0,0,0,0,0,0,0
"Timmons, William R.",0,0,"{'SFST', 'BAC'}",0,0,0,0,0,0
"Scott, Austin",0,0,0,0,0,0,0,0,{'CLNE'}
"Brooks, Susan W.","{'XOM', 'CVX'}",0,0,0,0,0,0,0,0
"Keating, William R.",0,0,0,0,0,0,"{'CVX', 'SU'}",0,0
"Upton, Fred","{'XOM', 'EOG'}",0,0,0,0,0,0,0,0
"Flores, Bill",{'SPN'},0,0,0,0,0,0,0,0
